query-id	corpus-id	score
601_doc	601_code	1
602_doc	602_code	1
603_doc	603_code	1
604_doc	604_code	1
605_doc	605_code	1
606_doc	606_code	1
607_doc	607_code	1
608_doc	608_code	1
609_doc	609_code	1
610_doc	610_code	1
611_doc	611_code	1
612_doc	612_code	1
613_doc	613_code	1
614_doc	614_code	1
615_doc	615_code	1
616_doc	616_code	1
617_doc	617_code	1
618_doc	618_code	1
619_doc	619_code	1
620_doc	620_code	1
621_doc	621_code	1
622_doc	622_code	1
623_doc	623_code	1
624_doc	624_code	1
625_doc	625_code	1
626_doc	626_code	1
627_doc	627_code	1
628_doc	628_code	1
629_doc	629_code	1
630_doc	630_code	1
631_doc	631_code	1
632_doc	632_code	1
633_doc	633_code	1
634_doc	634_code	1
635_doc	635_code	1
636_doc	636_code	1
637_doc	637_code	1
638_doc	638_code	1
639_doc	639_code	1
640_doc	640_code	1
641_doc	641_code	1
642_doc	642_code	1
643_doc	643_code	1
644_doc	644_code	1
645_doc	645_code	1
646_doc	646_code	1
647_doc	647_code	1
648_doc	648_code	1
649_doc	649_code	1
650_doc	650_code	1
651_doc	651_code	1
652_doc	652_code	1
653_doc	653_code	1
654_doc	654_code	1
655_doc	655_code	1
656_doc	656_code	1
657_doc	657_code	1
658_doc	658_code	1
659_doc	659_code	1
660_doc	660_code	1
661_doc	661_code	1
662_doc	662_code	1
663_doc	663_code	1
664_doc	664_code	1
665_doc	665_code	1
666_doc	666_code	1
667_doc	667_code	1
668_doc	668_code	1
669_doc	669_code	1
670_doc	670_code	1
671_doc	671_code	1
672_doc	672_code	1
673_doc	673_code	1
674_doc	674_code	1
675_doc	675_code	1
676_doc	676_code	1
677_doc	677_code	1
678_doc	678_code	1
679_doc	679_code	1
680_doc	680_code	1
681_doc	681_code	1
682_doc	682_code	1
683_doc	683_code	1
684_doc	684_code	1
685_doc	685_code	1
686_doc	686_code	1
687_doc	687_code	1
688_doc	688_code	1
689_doc	689_code	1
690_doc	690_code	1
691_doc	691_code	1
692_doc	692_code	1
693_doc	693_code	1
694_doc	694_code	1
695_doc	695_code	1
696_doc	696_code	1
697_doc	697_code	1
698_doc	698_code	1
699_doc	699_code	1
700_doc	700_code	1
701_doc	701_code	1
702_doc	702_code	1
703_doc	703_code	1
704_doc	704_code	1
705_doc	705_code	1
706_doc	706_code	1
707_doc	707_code	1
708_doc	708_code	1
709_doc	709_code	1
710_doc	710_code	1
711_doc	711_code	1
712_doc	712_code	1
713_doc	713_code	1
714_doc	714_code	1
715_doc	715_code	1
716_doc	716_code	1
717_doc	717_code	1
718_doc	718_code	1
719_doc	719_code	1
720_doc	720_code	1
721_doc	721_code	1
722_doc	722_code	1
723_doc	723_code	1
724_doc	724_code	1
725_doc	725_code	1
726_doc	726_code	1
727_doc	727_code	1
728_doc	728_code	1
729_doc	729_code	1
730_doc	730_code	1
731_doc	731_code	1
732_doc	732_code	1
733_doc	733_code	1
734_doc	734_code	1
735_doc	735_code	1
736_doc	736_code	1
737_doc	737_code	1
738_doc	738_code	1
739_doc	739_code	1
740_doc	740_code	1
741_doc	741_code	1
742_doc	742_code	1
743_doc	743_code	1
744_doc	744_code	1
745_doc	745_code	1
746_doc	746_code	1
747_doc	747_code	1
748_doc	748_code	1
749_doc	749_code	1
750_doc	750_code	1
751_doc	751_code	1
752_doc	752_code	1
753_doc	753_code	1
754_doc	754_code	1
755_doc	755_code	1
756_doc	756_code	1
757_doc	757_code	1
758_doc	758_code	1
759_doc	759_code	1
760_doc	760_code	1
761_doc	761_code	1
762_doc	762_code	1
763_doc	763_code	1
764_doc	764_code	1
765_doc	765_code	1
766_doc	766_code	1
767_doc	767_code	1
768_doc	768_code	1
769_doc	769_code	1
770_doc	770_code	1
771_doc	771_code	1
772_doc	772_code	1
773_doc	773_code	1
774_doc	774_code	1
775_doc	775_code	1
776_doc	776_code	1
777_doc	777_code	1
778_doc	778_code	1
779_doc	779_code	1
780_doc	780_code	1
781_doc	781_code	1
782_doc	782_code	1
783_doc	783_code	1
784_doc	784_code	1
785_doc	785_code	1
786_doc	786_code	1
787_doc	787_code	1
788_doc	788_code	1
789_doc	789_code	1
790_doc	790_code	1
791_doc	791_code	1
792_doc	792_code	1
793_doc	793_code	1
794_doc	794_code	1
795_doc	795_code	1
796_doc	796_code	1
797_doc	797_code	1
798_doc	798_code	1
799_doc	799_code	1
800_doc	800_code	1
801_doc	801_code	1
802_doc	802_code	1
803_doc	803_code	1
804_doc	804_code	1
805_doc	805_code	1
806_doc	806_code	1
807_doc	807_code	1
808_doc	808_code	1
809_doc	809_code	1
810_doc	810_code	1
811_doc	811_code	1
812_doc	812_code	1
813_doc	813_code	1
814_doc	814_code	1
815_doc	815_code	1
816_doc	816_code	1
817_doc	817_code	1
818_doc	818_code	1
819_doc	819_code	1
820_doc	820_code	1
821_doc	821_code	1
822_doc	822_code	1
823_doc	823_code	1
824_doc	824_code	1
825_doc	825_code	1
826_doc	826_code	1
827_doc	827_code	1
828_doc	828_code	1
829_doc	829_code	1
830_doc	830_code	1
831_doc	831_code	1
832_doc	832_code	1
833_doc	833_code	1
834_doc	834_code	1
835_doc	835_code	1
836_doc	836_code	1
837_doc	837_code	1
838_doc	838_code	1
839_doc	839_code	1
840_doc	840_code	1
841_doc	841_code	1
842_doc	842_code	1
843_doc	843_code	1
844_doc	844_code	1
845_doc	845_code	1
846_doc	846_code	1
847_doc	847_code	1
848_doc	848_code	1
849_doc	849_code	1
850_doc	850_code	1
851_doc	851_code	1
852_doc	852_code	1
853_doc	853_code	1
854_doc	854_code	1
855_doc	855_code	1
856_doc	856_code	1
857_doc	857_code	1
858_doc	858_code	1
859_doc	859_code	1
860_doc	860_code	1
861_doc	861_code	1
862_doc	862_code	1
863_doc	863_code	1
864_doc	864_code	1
865_doc	865_code	1
866_doc	866_code	1
867_doc	867_code	1
868_doc	868_code	1
869_doc	869_code	1
870_doc	870_code	1
871_doc	871_code	1
872_doc	872_code	1
873_doc	873_code	1
874_doc	874_code	1
875_doc	875_code	1
876_doc	876_code	1
877_doc	877_code	1
878_doc	878_code	1
879_doc	879_code	1
880_doc	880_code	1
881_doc	881_code	1
882_doc	882_code	1
883_doc	883_code	1
884_doc	884_code	1
885_doc	885_code	1
886_doc	886_code	1
887_doc	887_code	1
888_doc	888_code	1
889_doc	889_code	1
890_doc	890_code	1
891_doc	891_code	1
892_doc	892_code	1
893_doc	893_code	1
894_doc	894_code	1
895_doc	895_code	1
896_doc	896_code	1
897_doc	897_code	1
898_doc	898_code	1
899_doc	899_code	1
900_doc	900_code	1
901_doc	901_code	1
902_doc	902_code	1
903_doc	903_code	1
904_doc	904_code	1
905_doc	905_code	1
906_doc	906_code	1
907_doc	907_code	1
908_doc	908_code	1
909_doc	909_code	1
910_doc	910_code	1
911_doc	911_code	1
912_doc	912_code	1
913_doc	913_code	1
914_doc	914_code	1
915_doc	915_code	1
916_doc	916_code	1
917_doc	917_code	1
918_doc	918_code	1
919_doc	919_code	1
920_doc	920_code	1
921_doc	921_code	1
922_doc	922_code	1
923_doc	923_code	1
924_doc	924_code	1
925_doc	925_code	1
926_doc	926_code	1
927_doc	927_code	1
928_doc	928_code	1
929_doc	929_code	1
930_doc	930_code	1
931_doc	931_code	1
932_doc	932_code	1
933_doc	933_code	1
934_doc	934_code	1
935_doc	935_code	1
936_doc	936_code	1
937_doc	937_code	1
938_doc	938_code	1
939_doc	939_code	1
940_doc	940_code	1
941_doc	941_code	1
942_doc	942_code	1
943_doc	943_code	1
944_doc	944_code	1
945_doc	945_code	1
946_doc	946_code	1
947_doc	947_code	1
948_doc	948_code	1
949_doc	949_code	1
950_doc	950_code	1
951_doc	951_code	1
952_doc	952_code	1
953_doc	953_code	1
954_doc	954_code	1
955_doc	955_code	1
956_doc	956_code	1
957_doc	957_code	1
958_doc	958_code	1
959_doc	959_code	1
960_doc	960_code	1
961_doc	961_code	1
962_doc	962_code	1
963_doc	963_code	1
964_doc	964_code	1
965_doc	965_code	1
966_doc	966_code	1
967_doc	967_code	1
968_doc	968_code	1
969_doc	969_code	1
970_doc	970_code	1
971_doc	971_code	1
972_doc	972_code	1
973_doc	973_code	1
974_doc	974_code	1
